adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,quarter,year
0001193125-20-050136,CommonStockSharesAuthorized,us-gaap/2019,20181231,0,shares,,,80000000.0,,q1,2020
0001140361-20-007337,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2019,20171231,0,USD,,,0.0,,q1,2020
0000851310-20-000006,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap/2019,20171231,4,USD,,,1337000.0,,q1,2020
0000829224-20-000012,CommonStockSharesAuthorized,us-gaap/2019,20190930,0,shares,,,2400000000.0,,q1,2020
0001371285-20-000032,Assets,us-gaap/2018,20191231,0,USD,ConsolidatedEntities=ParentCompany;,,164275000.0,,q1,2020
0001243429-20-000004,AdjustmentsForGainsLossesOnChangeInFairValueOfDerivatives,ifrs/2018,20191231,4,USD,,,-320000000.0,,q1,2020
0001628280-20-001947,Assets,us-gaap/2019,20191231,0,USD,,,23965615000.0,,q1,2020
0001477333-20-000010,APICShareBasedPaymentArrangementIncreaseForStockOptionsEarlyExercised,0001477333-20-000010,20181231,4,USD,EquityComponents=AdditionalPaidInCapital;,,1415000.0,,q1,2020
0001607062-20-000011,StockholdersEquity,us-gaap/2018,20191130,0,USD,EquityComponents=AdditionalPaidInCapital;,,3063134.0,,q1,2020
0001000228-20-000018,StockholdersEquityOther,us-gaap/2019,20181231,4,USD,EquityComponents=AdditionalPaidInCapital;,,19000.0,,q1,2020
0001441683-20-000020,TemporaryEquityPaymentsOfDividendsPreferredStockAndPreferenceStock,0001441683-20-000020,20181231,4,USD,,,0.0,,q1,2020
0001104659-20-034248,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2019,20190131,4,shares,,,181099000.0,,q1,2020
0001558370-20-001804,SellingAndMarketingExpense,us-gaap/2019,20181231,1,USD,,,28435000.0,,q1,2020
0001387131-20-003381,RealEstateInvestmentPropertyAccumulatedDepreciation,us-gaap/2019,20181231,0,USD,,,78099000.0,,q1,2020
0001049521-20-000009,PreferredStockSharesAuthorized,us-gaap/2018,20191231,0,shares,,,1000000.0,,q1,2020
0001564590-20-007716,ProceedsFromDivestitureOfBusinesses,us-gaap/2019,20181231,4,USD,,,25200000.0,,q1,2020
0001230245-20-000031,OtherNoninterestExpense,us-gaap/2019,20171231,4,USD,,,11370000.0,,q1,2020
0001666071-20-000054,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap/2018,20191231,4,USD,,,8277000.0,,q1,2020
0000935703-20-000006,OtherNoncashIncomeExpense,us-gaap/2019,20180131,4,USD,,,-10900000.0,,q1,2020
0001331463-20-000050,ProceedsFromPaymentsForSecuritiesPurchasedUnderAgreementsToResell,us-gaap/2019,20191231,4,USD,,,2999000000.0,,q1,2020
0001514416-20-000027,OtherNonoperatingIncomeExpense,us-gaap/2019,20191231,4,USD,,,2469000.0,,q1,2020
0001628280-20-004385,NetIncomeLossIncludingCumulativeEffectOfChangeOnEquityDueToNewAccountingPronouncementOrChangeInAccountingPrinciple,0001628280-20-004385,20190131,4,USD,,,229832000.0,,q1,2020
0001104659-20-039645,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,us-gaap/2019,20181231,4,USD,,,900000.0,,q1,2020
0001047469-20-000583,NetCashProvidedByUsedInInvestingActivities,us-gaap/2018,20171231,4,USD,,,-3508000.0,,q1,2020
0001493152-20-004600,OfficersCompensation,us-gaap/2019,20181231,4,USD,,,408000.0,,q1,2020
0000773840-20-000009,LossContingencyReceivableNoncurrent,us-gaap/2019,20181231,0,USD,,,437000000.0,,q1,2020
0001137789-20-000015,InvestmentIncomeInterest,us-gaap/2018,20181231,2,USD,,,46000000.0,,q1,2020
0001383312-20-000013,LongTermDebtNoncurrent,us-gaap/2019,20191231,0,USD,,,1449300000.0,,q1,2020
0001437749-20-005240,Liabilities,us-gaap/2019,20181231,0,USD,,,994694000.0,,q1,2020
0001708035-20-000009,LongTermDebtCurrent,us-gaap/2019,20191231,0,USD,,,7766000.0,,q1,2020
0000874501-20-000034,NetIncomeLoss,us-gaap/2019,20190331,1,USD,,,-43000000.0,,q1,2020
0001493152-20-004260,IncreaseDecreaseInSecurityDepositsAndOtherAssets,0001493152-20-004260,20191231,4,USD,,,,,q1,2020
